procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5863240   2168 1368688    0    0     0    20 4999 7969  5  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 5863240   2168 1368688    0    0     0    24 4105 6604  3  0 97  0  0
 0  0      0 5863240   2168 1368688    0    0     0   112 5496 8822  8  2 90  1  0
 0  0      0 5861224   2168 1368688    0    0     0    32 5065 7978  9  2 89  0  0
 0  0      0 5859712   2168 1368692    0    0     0    20 5323 8485  7  1 92  1  0
 0  0      0 5859712   2168 1368692    0    0     0   244 4797 7702  7  2 91  0  0
 0  0      0 5859460   2168 1368692    0    0     0   308 4825 7671  7  3 90  1  0
 0  0      0 5858452   2168 1368692    0    0     0  1928 4694 7485  7  1 91  2  0
 0  0      0 5858452   2168 1368692    0    0     0   216 4763 7582  8  1 91  0  0
 0  0      0 5858452   2168 1368692    0    0     0    24 4992 7890  6  3 91  1  0
 0  0      0 5858452   2168 1368692    0    0     0   144 4601 7384  4  2 94  0  0
 0  0      0 5858452   2168 1368692    0    0     0    84 4924 7925  8  2 90  1  0
 0  0      0 5858452   2168 1368692    0    0     0    32 5777 9267  7  2 91  0  0
 0  0      0 5858452   2168 1368692    0    0     0    16 4790 7590  9  3 88  0  0
 0  0      0 5858452   2168 1368692    0    0     0     8 4609 7370  3  1 96  0  0
 0  0      0 5858452   2168 1368692    0    0     0   324 5080 8238  6  1 93  1  0
 3  0      0 5858200   2168 1368692    0    0     0   256 4876 7808  7  1 92  1  0
 0  0      0 5856940   2168 1368696    0    0     0  2044 3446 5735  7  1 90  2  0
